ID,VINÍCOLA,VINHO,URL,Uva,SAFRA,TIPO,PREÇO,RADAR,COMENTÁRIO,GUARDAR OU BEBER?,Para quem é este vinho?,Categoria Vinho,IMPORTADORA,PAÍS,REGIÃO,STATUS,IMAGEM
,Frédéric Savart,Champagne Frédéric Savart 1er Cru L'Accomplie NV,https://www.animavinum.com.br/produto/champagne-1er-cru-l-accomplie-1384,Pinot Noir e Chardonnay,NV,Espumante,1150.0,TRUE,,Guardar,Nerd,Refrescante,Anima Vinum,França,Champagne,Curadoria,https://drive.google.com/file/d/1lZqJV9jNd_S0VTfb2D9eGMLp2IvYOE5N/view?usp=drivesdk
,Frédéric Savart,Champagne Frédéric Savart 1er Cru L'Ouverture NV,https://www.animavinum.com.br/produto/champagne-1er-cru-l-ouverture-1084,Pinot Noir,NV,Espumante,945.0,TRUE,,Guardar,Clássico,Refrescante,Anima Vinum,França,Champagne,Curadoria,https://drive.google.com/file/d/1KDgNpg_NLbQa4NOJ3p8gB3Nxm5pIaVd3/view?usp=drivesdk
,Jean-Marc Sélèque,Champagne Jean-Marc Sélèque Extra Brut Rosé Solessence NV,https://www.animavinum.com.br/produto/champagne-extra-brut-rose-solessence-71,45% Chardonnay 40% Meunier 15% de Pinot Noir,NV,Espumante,667.0,TRUE,,Beber,Curioso,Refrescante,Anima Vinum,França,Champagne,Curadoria,https://drive.google.com/file/d/1ZfTuAy6hzuJTdsHoNiatUA4WHH3Dj9Rp/view?usp=drivesdk
,Jean-Marc Sélèque,Champagne Jean-Marc Sélèque Nature Solessence NV,https://www.animavinum.com.br/produto/champagne-nature-solessence-73,50% Chardonnay 40% Meunier 10% Pinot Noir,NV,Espumante,769.0,TRUE,,Beber,Natureba,Refrescante,Anima Vinum,França,Champagne,Curadoria,https://drive.google.com/file/d/1pHN3gkUjfG93t_40l13SkDzU8-hWbNFU/view?usp=drivesdk
,Lacourte-Godbillon,Champagne Lacourte-Godbillon M.A.M Migerats 1er Cru Nature 2017,https://glouglou.com.br/products/champagne-lacourte-godbillon-mont-ame-migerats-1er-cru-nature-,Pinot Noir,2017,Espumante,2775.0,TRUE,,Guardar,Nerd,Pedigree,011import,França,Champagne,Curadoria,https://drive.google.com/file/d/1cIF7eH7IXYpllZT0xjDKJB7uCky1LKPW/view?usp=drivesdk
,Lacourte-Godbillon,Champagne Lacourte-Godbillon Millésime 2019,https://glouglou.com.br/products/champagne-lacourte-godbillon-millesime-2019,85% Pinot Noir e 15% Chardonnay,2019,Espumante,1875.0,TRUE,,Guardar ou Beber,Clássico,Pedigree,011import,França,Champagne,Curadoria,https://drive.google.com/file/d/1ygUtc81fLUuyPPamLjzwrtvMcndB4t1t/view?usp=drivesdk
,Lafalise-Froissart,Champagne Lafalise-Froissart Cuvée 090 Millésime 2019,https://glouglou.com.br/products/champagne-lafalise-froissart-cuvee-090-millesime-extra-brut-2019,Chardonnay,2019,Espumante,2925.0,TRUE,,Guardar ou Beber,Clássico,Pedigree,011import,França,Champagne,Curadoria,https://drive.google.com/file/d/1BY5ViaeAGKbKNDYz74aJMFnLQNrs4lgR/view?usp=drivesdk
,Mouzon Leroux,Champagne Mouzon Leroux Grand Cru L'atavique NV,https://www.animavinum.com.br/produto/champagne-grand-cru-atavique-1096,Pinot Noir e Chardonnay,NV,Espumante,796.0,TRUE,,Guardar ou Beber,Curioso,Refrescante,Anima Vinum,França,Champagne,Curadoria,https://drive.google.com/file/d/1beJGpI-HTCY7D4qBy5t33WC0Y_xQxJm0/view?usp=drivesdk
,Mouzon Leroux,Champagne Mouzon Leroux Grand L'Ascendant Solera NV,https://www.animavinum.com.br/produto/champagne-grand-cru-l-ascedant-solera-1097,Pinot Noir e Chardonnay,NV,Espumante,954.0,TRUE,,Guardar,Nerd,Contemplativo,Anima Vinum,França,Champagne,Curadoria,https://drive.google.com/file/d/10_1VOt8LNzz5pqT6mO9LMBoSG8LpijXd/view?usp=drivesdk
,Robert Moncuit,Champagne Robert Moncuit Grand Cru Les Grands Blancs,https://www.animavinum.com.br/produto/champagne-grand-cru-les-grands-blancs-1100,Chardonnay,NV,Espumante,748.0,TRUE,,Guardar,Clássico,Refrescante,Anima Vinum,França,Champagne,Curadoria,https://drive.google.com/file/d/1ojOwgw0rsTVaXQ6ZuRxKSwjcd3RExYWN/view?usp=drivesdk
,Thierry Massin,Champagne Thierry Massin Brut Arpents NV,https://www.animavinum.com.br/produto/champagne-brut-arpents-261,85% Pinot Noir 15% Chardonnay,NV,Espumante,490.0,TRUE,,Beber,Clássico,Batalha,Anima Vinum,França,Champagne,Curadoria,https://drive.google.com/file/d/1cve5PK4mqVzDRi75iR-5oyV0oLg5ioXT/view?usp=drivesdk
,Thierry Massin,Champagne Thierry Massin Confluence Rosé NV,https://www.animavinum.com.br/produto/champagne-confluence-rose-1093,Pinot Noir,NV,Espumante,473.0,TRUE,,Beber,Curioso,Refrescante,Anima Vinum,França,Champagne,Curadoria,https://drive.google.com/file/d/14uyxYXa6Dz90VX8GsxTWAt3ihgL2gVYT/view?usp=drivesdk
,Ciavolich,Ciavolich Aires Pecorino Terre D’Abruzzo IGP 2024,https://www.cecconellovino.com.br/produto/aires-pecorino-terre-dabruzzo-igp-2024/,Pecorino,2024,Branco,200.0,TRUE,,Beber,Curioso,Refrescante,Cecconello Vino,Itália,Abruzzo,Curadoria,https://drive.google.com/file/d/1HkVdU6z7Aek8tP8_3tfAlPa4lVoEqpF7/view?usp=drivesdk
,Clos des Vignes du Maynes,Clos des Vignes du Maynes Bourgogne Rouge Cuvée Auguste 2022,https://uvavinhos.com.br/produto/clos-des-vignes-du-mayne-bourgogne-rouge-cuvee-auguste-2022/,Pinot Fin,2022,Tinto,1040.0,TRUE,,Guardar ou Beber,Curioso,Batalha,Uva Vinhos,França,Borgonha,Curadoria,https://drive.google.com/file/d/1rQUY3GXgB8qoEUE69r3FknhvfIlBKhe3/view?usp=drivesdk
,Clos des Vignes du Maynes,Clos des Vignes du Maynes Mâcon Rouge Sélection,https://uvavinhos.com.br/produto/clos-des-vignes-du-mayne-macon-rouge-selection-massale-2023/,Gamay,,Tinto,548.0,TRUE,,Beber,Natureba,Batalha,Uva Vinhos,França,Borgonha,Curadoria,https://drive.google.com/file/d/1Zqk63q9ejdhjdj1CW9smEDggfBDX7y1b/view?usp=drivesdk
,Closerie Saint Roc,Closerie Saint Roc 2019,https://www.cellarvinhos.com/vinho-tinto-closerie-saint-roc-2019-frcst1901n/p,Blend,2019,Tinto,645.0,TRUE,,Guardar,Clássico,Pedigree,Cellar,França,Bordeaux,Curadoria,https://drive.google.com/file/d/1YYv9N-sKbDncy5h_R-tLcr6bnm58OjkT/view?usp=drivesdk
,Closerie Saint Roc,Closerie Saint Roc Les Noyers 2021,https://www.cellarvinhos.com/vinho-tinto-les-noyers-2021/p,Cabernet Franc e Merlot,2021,Tinto,995.0,TRUE,,Guardar ou Beber,Curioso,Pedigree,Cellar,França,Bordeaux,Curadoria,https://drive.google.com/file/d/1IIeuCgnYa6g6XBFSMT4ObhXfYPPClGC9/view?usp=drivesdk
,Cordero San Giorgio,Cordero San Giorgio Fredo Barbera Riserva 2020,https://cecconellovino.com.br/produto/fredo-oltrepo-pavese-doc-barbera-reserva-2021/,Barbera,2020,Tinto,340.0,TRUE,,Guardar,Curioso,Refrescante,Cecconello Vino,Itália,Lombardia,Curadoria,https://drive.google.com/file/d/1nDUDzcDj45b0euI77ro4tLrvvhA4bXEN/view?usp=drivesdk
,Croix e Courbet,Croix e Courbet Arbois Blanc Savagnin Ouillé En Chemenot,https://www.cellarvinhos.com/vinho-branco-arbois-blanc-savagnin-ouille-en-chemenot-2022/p,Savagnin,,Branco,695.0,TRUE,,Guardar ou Beber,Curioso,Contemplativo,Cellar,França,Jura,Curadoria,https://drive.google.com/file/d/1qUrLyIJ_JdCZsYKgY601LTf8fxrv07t5/view?usp=drivesdk
,Croix e Courbet,Croix e Courbet Côtes Du Jura Chardonnay Le Calvaire,https://www.cellarvinhos.com/vinho-branco-cotes-du-jura-chardonnay-le-calvaire-2022/p,Savagnin,,Branco,695.0,TRUE,,Guardar ou Beber,Curioso,Contemplativo,Cellar,França,Jura,Curadoria,https://drive.google.com/file/d/1_uMNlJ1huKuB1AX2OOJiIQtiJ_s88K7W/view?usp=drivesdk
,Croix e Courbet,Croix e Courbet Côtes Du Jura Savadonnay 2022,https://www.cellarvinhos.com/vinho-branco-cotes-du-jura-savadonnay-2022/p,70% Chardonnay e 30% Savagnin,2022,Branco,595.0,TRUE,,Beber,Curioso,Refrescante,Cellar,França,Borgonha,Curadoria,https://drive.google.com/file/d/1ym3bOw5EVZJ_KzbXG6M-bM9pUTANjrXk/view?usp=drivesdk
,Croix e Courbet,Croix e Courbet Côtes Du Jura Savagnin Ouillé 2022,https://www.cellarvinhos.com/vinho-branco-cotes-du-jura-savagnin-ouille-2022/p,Savagnin,2022,Branco,645.0,TRUE,,Guardar ou Beber,Curioso,Contemplativo,Cellar,França,Jura,Curadoria,https://drive.google.com/file/d/16T1243kr1dbOFZx8y31hDMmJ8x5v7u3_/view?usp=drivesdk
,Croix e Courbet,Croix e Courbet Côtes Du Jura Savagnin Ouillé En,https://www.cellarvinhos.com/vinho-branco-cotes-du-jura-savagnin-ouille-en-beaumont-2022/p,Savagnin,,Branco,695.0,TRUE,,Guardar ou Beber,Curioso,Contemplativo,Cellar,França,Jura,Curadoria,https://drive.google.com/file/d/1cn0RhlXVqf2CgVF9NHSUQUMC9l3I3xfy/view?usp=drivesdk
,Dalva,Dalva Porto 30 Years Old,https://www.castasimportadora.com.br/pais/portugal/vinho-do-porto-dalva-30-anos-750ml,"Tinta Barroca, Tinta Cão, Touriga Nacional, Tinta Roriz e Touriga Franca",,Fortificado,1121.89,TRUE,,Beber,Clássico,Contemplativo,Castas Importadora,Portugal,Douro,Curadoria,https://drive.google.com/file/d/1FD4xeQy4JY2fnQnd9V5L82gvJVpqJzzJ/view?usp=drivesdk
,Dalva,Dalva Porto 40 Years Old,https://www.castasimportadora.com.br/pais/portugal/vinho-do-porto-dalva-40-anos-750ml,"Tinta Barroca, Tinta Cão, Touriga Nacional, Tinta Roriz e Touriga Franca",,Fortificado,1579.9,TRUE,,Beber,Clássico,Contemplativo,Castas Importadora,Portugal,Douro,Curadoria,https://drive.google.com/file/d/1mEDVXFLfelmitZD4t4RD_tmxk9eV65Pf/view?usp=drivesdk
,Didier Dagueneau,Didier Dagueneau Buisson Renard 2020,https://glouglou.com.br/products/didier-dagueneau-buisson-renard-2020,Sauvignon Blanc,2020,Branco,2650.0,TRUE,,Guardar,Nerd,Pedigree,011import,França,Vale do Loire,Curadoria,https://drive.google.com/file/d/1es1XnjX912jFx22LND6ve7Is-_LWLKyz/view?usp=drivesdk
,Domaine Abbatucci,Domaine Abbatucci Général De La Revolution Cuvée,https://www.cellarvinhos.com/vinho-branco-general-de-la-revolution-cuvee-collection-2021-,Blend,,Branco,1195.0,TRUE,,,Curioso,Contemplativo,Cellar,França,Córsega,Curadoria,https://drive.google.com/file/d/1FhdCZjjTHNVq_HFefpBEkDQ3RFzPdFUF/view?usp=drivesdk
,Domaine Abbatucci,Domaine Abbatucci Monte Bianco Rouge 2021,https://www.cellarvinhos.com/vinho-tinto-monte-bianco-rouge-2021-frait2102n/p,Sciaccarellu,2021,Tinto,995.0,TRUE,,,Curioso,Contemplativo,Cellar,França,Córsega,Curadoria,https://drive.google.com/file/d/129vOO3YbVpuvUJNHud9j3xOyUjghMa1B/view?usp=drivesdk
,Domaine Bertagna,Domaine Bertagna Bourgogne Hautes Côtes de Nuits,https://www.cellarvinhos.com/vinho-branco-bourgogne-hautes-cotes-de-nuits-blanc-2022/p,Chardonnay,,Branco,465.0,TRUE,,Beber,Clássico,Pedigree,Cellar,França,Borgonha,Curadoria,https://drive.google.com/file/d/1VH9en6q3w3ODTyRTDb6ByBklSOsfEK87/view?usp=drivesdk
,Domaine Bertagna,Domaine Bertagna Bourgogne Vougeot Premier Cru Clos,https://www.cellarvinhos.com/vinho-tinto-vougeot-premier-cru-clos-de-la-perriere-monopole-2022/p,Pinot Noir,,Tinto,1795.0,TRUE,,Beber ou Guardar,Nerd,Contemplativo,Cellar,França,Borgonha,Curadoria,https://drive.google.com/file/d/1WpmTaS3txRjfDagvyNEhWN6AP1p0N4MF/view?usp=drivesdk
,Domaine Bretaudeau,Domaine Bretaudeau Muscadet Gabbro Clos Des,https://www.cellarvinhos.com/vinho-branco-muscadet-gabbro-clos-des-bouquinardieres-2022/p,Melon de Bourgogne,,Branco,475.0,TRUE,,Beber,Curioso,Refrescante,Cellar,França,Vale do Loire,Curadoria,https://drive.google.com/file/d/1HXWICAxODZw3rCZlBj7f-7co354MLQ68/view?usp=drivesdk
,Domaine Bretaudeau,Domaine Bretaudeau Muscadet Granite Clos Des Perrières,https://www.cellarvinhos.com/vinho-branco-muscadet-granite-clos-des-perrieres-2022/p,Melon de Bourgogne,,Branco,495.0,TRUE,,Beber,Curioso,Refrescante,Cellar,França,Vale do Loire,Curadoria,https://drive.google.com/file/d/18ixwMWX5b-Z4fIoQ9DoYfLisrCravojI/view?usp=drivesdk
,Domaine Comte Armand,Domaine Comte Armand Pommard 1er Cru Clos des,https://www.delacroixvinhos.com.br/collections/vinhos-tintos-da-franca/products/pommard-1er-cru-,Pinot Noir,,Tinto,1985.0,TRUE,,,Nerd,Pedigree,De la Croix,França,Borgonha,Curadoria,https://drive.google.com/file/d/1eoY1PV5UaJZm3kDuMm7zuMaCx8KwYBqH/view?usp=drivesdk
,Domaine de Borba,Domaine de Borba Tinto 2019,https://glouglou.com.br/products/domaine-de-borba-tinto-2019,"Aragonês, Trincadeira e etc",2019,Tinto,490.0,TRUE,,Beber,Curioso,Contemplativo,011import,Portugal,Alentejo,Curadoria,https://drive.google.com/file/d/1t_8dyc7Gse3onRM1HsutfR1qDjwbe-vl/view?usp=drivesdk
,Domaine Derain,Domaine Derain Bourgogne Blanc La Corveé Aux Moines,https://www.wines4u.com.br/bourgogne-blanc-la-corvee-aux-moines-2022-domaine-derain.html,Chardonnay,,Branco,440.0,TRUE,,Guardar ou Beber,Natureba,Batalha,Wines4U,França,Borgonha,Curadoria,https://drive.google.com/file/d/1y7Y1bwdZ7MvRIKEZ0nf1olnXz-OlgTqa/view?usp=drivesdk
,Domaine des Marnes Blanches,Domaine Des Marnes Blanches Zeus Gonewild 2021,https://www.wines4u.com.br/zeus-2021-domaine-des-marnes-blanches.html,Grenache,2021,Tinto,335.0,TRUE,,Beber,Natureba,Batalha,Wines4U,França,Rhône,Curadoria,https://drive.google.com/file/d/1uReHL9wPwQhz7drpR_WimTwqfpV2LZse/view?usp=drivesdk
,Domaine Emmanuel Giboulot,Domaine Emmanuel Giboulot Morgon 2017,https://glouglou.com.br/products/domaine-emmanuel-giboulot-morgon-2017,Gamay,2017,Tinto,590.0,TRUE,,,Natureba,Refrescante,011import,França,Beaujolais,Curadoria,https://drive.google.com/file/d/1uqm_wwWHOlxocJ8cFq9ntNffJ7kO6iS5/view?usp=drivesdk
,Domaine Génot-Boulanger ,Domaine Génot-Boulanger Beaune En Lulunne 2022,https://www.cellarvinhos.com/vinho-branco-beaune-en-lulunne-2022/p,Chardonnay,2022,Branco,795.0,TRUE,,Beber,Curioso,Batalha,Cellar,França,Borgonha,Curadoria,https://drive.google.com/file/d/1D9vAHIxcnGRdnp6Qy_7TqSkCQzkuUZOE/view?usp=drivesdk
,Domaine Génot-Boulanger ,Domaine Génot-Boulanger Chambolle-Musigny 2022,https://www.cellarvinhos.com/vinho-tinto-chambolle-musigny-2022-1/p,Pinot Noir,2022,Tinto,1445.0,TRUE,,Guardar ou Beber,Clássico,Contemplativo,Cellar,França,Borgonha,Curadoria,https://drive.google.com/file/d/1nxypb2sfG7SMKod2VPjj4BSXrSiF2ie9/view?usp=drivesdk
,Domaine Génot-Boulanger ,Domaine Génot-Boulanger Meursault Premier Cru Les,https://www.cellarvinhos.com/vinho-branco-meursault-premier-cru-les-boucheres-2022/p,Chardonnay,,Branco,2395.0,TRUE,,Guardar,Nerd,Pedigree,Cellar,França,Borgonha,Curadoria,https://drive.google.com/file/d/1YxIQiZYjL-7dE6jL5JV7XhJbUEKInC-X/view?usp=drivesdk
,Domaine Génot-Boulanger ,Domaine Génot-Boulanger Puligny-Montrachet Les,https://www.cellarvinhos.com/vinho-branco-puligny-montrachet-les-levrons-2022/p,Chardonnay,,Branco,1395.0,TRUE,,Guardar,Nerd,Refrescante,Cellar,França,Borgonha,Curadoria,https://drive.google.com/file/d/17FQIp9mLPrN4ggQ_oMDVDQ_gkvcmaf9K/view?usp=drivesdk
,Domaine Génot-Boulanger ,Domaine Génot-Boulanger Puligny-Montrachet Les,https://www.cellarvinhos.com/vinho-branco-puligny-montrachet-les-nosroyes-2022/p,Chardonnay,,Branco,1495.0,TRUE,,Guardar,Nerd,Refrescante,Cellar,França,Borgonha,Curadoria,https://drive.google.com/file/d/1MHJjFqaWP0UpnzEOqfLV0T9F9FN6c02Y/view?usp=drivesdk
,Domaine Génot-Boulanger ,Domaine Génot-Boulanger Puligny-Montrachet Premier,https://www.cellarvinhos.com/vinho-branco-puligny-montrachet-premier-cru-la-garenne-2022/p,Chardonnay,,Branco,2395.0,TRUE,,Guardar,Nerd,Refrescante,Cellar,França,Borgonha,Curadoria,https://drive.google.com/file/d/16UUB94CSwOs4mJzqWWeqW2iIP682Yvqk/view?usp=drivesdk
,Domaine Génot-Boulanger ,Domaine Génot-Boulanger Volnay 2022,https://www.cellarvinhos.com/vinho-tinto-volnay-2022/p,Pinot Noir,2022,Tinto,1095.0,TRUE,,Beber,Curioso,Batalha,Cellar,França,Borgonha,Curadoria,https://drive.google.com/file/d/1qbuGqFuP0W1Q0-JDh_JQ743Go3x5pLHC/view?usp=drivesdk
,Domaine Georges Glantenay,Domaine Georges Glantenay Pommard 2022,https://www.cellarvinhos.com/vinho-tinto-pommard-2022/p,Pinot Noir,2022,Tinto,945.0,TRUE,,Guardar,Clássico,Contemplativo,Cellar,França,Borgonha,Curadoria,https://drive.google.com/file/d/12_LkYM8LNto6TyCFaiuq3FEnm0roEhBZ/view?usp=drivesdk
,Domaine Georges Glantenay,Domaine Georges Glantenay Volnay 1er Cru La Robardelle,https://www.cellarvinhos.com/vinho-tinto-volnay-premier-cru-la-robardelle-2022/p,Pinot Noir,,Tinto,1195.0,TRUE,,Guardar,Clássico,Contemplativo,Cellar,França,Borgonha,Curadoria,https://drive.google.com/file/d/10iJwFxqme-9GKC6pV4Jkh0wuBId6yVyp/view?usp=drivesdk
,Domaine Georges Glantenay,Domaine Georges Glantenay Volnay 2022,https://www.cellarvinhos.com/vinho-tinto-volnay-2022-1/p,Pinot Noir,2022,Tinto,795.0,TRUE,,Guardar ou Beber,Clássico,Contemplativo,Cellar,França,Borgonha,Curadoria,https://drive.google.com/file/d/1hs5FB_or8Zryu72Xq0mvdJfivnknwcby/view?usp=drivesdk
,Domaine Georges Glantenay,Domaine Georges Glantenay Volnay Premier Cru Le,https://www.cellarvinhos.com/vinho-tinto-volnay-premier-cru-le-ronceret-2022/p,Pinot Noir,,Tinto,1195.0,TRUE,,Guardar,Nerd,Pedigree,Cellar,França,Borgonha,Curadoria,https://drive.google.com/file/d/1unkwKK8hlWl5R7dcghhsTx0RpKXz6f1B/view?usp=drivesdk
,Domaine Georges Glantenay,Domaine Georges Glantenay Volnay Premier Cru Les,https://www.cellarvinhos.com/vinho-tinto-volnay-premier-cru-les-santenots-2022/p,Pinot Noir,,Tinto,1345.0,TRUE,,Guardar,Clássico,Pedigree,Cellar,França,Borgonha,Curadoria,https://drive.google.com/file/d/1ktPdfmmtmlcDR53urfzFqUwL4yTMWC0W/view?usp=drivesdk
,Domaine Georges Glantenay,Domaine Georges Glantenay Volnay Vieilles Vignes 2022,https://www.cellarvinhos.com/vinho-tinto-volnay-vieilles-vignes-2022/p,Pinot Noir,2022,Tinto,945.0,TRUE,,Guardar ou Beber,Clássico,Contemplativo,Cellar,França,Borgonha,Curadoria,https://drive.google.com/file/d/1iv7QKvrEPWjgjLElil-maoQhk0jQjzF6/view?usp=drivesdk
,Domaine Gouffier,Domaine Gouffier Montagny Les Bassets 2022,https://www.cellarvinhos.com/vinho-branco-montagny-les-bassets-2022/p,Chardonnay,2022,Branco,495.0,TRUE,,Beber,Clássico,Pedigree,Cellar,França,Borgonha,Curadoria,https://drive.google.com/file/d/1LnvfmsvncfEfNN1QBMg9eaoLexvogGnX/view?usp=drivesdk
,Domaine Grégoire Hoppenot,Domaine Grégoire Hoppenot Fleurie Indigène 2023,https://www.worldwine.com.br/vin-fr-g-hoppenot-tt-fleurie-indigene-750-029843/p,Gamay,2023,Tinto,349.0,TRUE,,Beber,Natureba,Refrescante,WorldWine,França,Beaujolais,Curadoria,https://drive.google.com/file/d/1TwevNh5T3fjQYh7y-5LGlZC7n6pJbhSD/view?usp=drivesdk
,Domaine Guiberteau,Domaine Guiberteau-Romain Saumur Rouge 2022,https://glouglou.com.br/products/domaine-guiberteau-romain-saumur-rouge-2022,Cabernet Franc,2022,Tinto,420.0,TRUE,,Guardar ou Beber,Nerd,Contemplativo,011import,França,Vale do Loire,Curadoria,https://drive.google.com/file/d/1iBklRBj5mmIYc8wbeMXE-CDSUE_jJbUg/view?usp=drivesdk
,Domaine Les Astrelles,Domaine Les Astrelles Bourgogne Aligoté En Riottes 2022,https://uvavinhos.com.br/produto/domaine-les-astrelles-bourgogne-aligote-en-riottes-2022/,Aligoté,2022,Branco,383.0,TRUE,,Beber,Curioso,Refrescante,Uva Vinhos,França,Borgonha,Curadoria,https://drive.google.com/file/d/1Px2E1TpxO-S-J8dkVo_N65SDEGb5Vv1k/view?usp=drivesdk
,Domaine Les Astrelles,Domaine Les Astrelles Bourgogne Aligoté La Mouille 2022,https://uvavinhos.com.br/produto/https-uvavinhos-com-br-produto-bourgogne-aligote-la-mouille/,Aligoté,2022,Branco,383.0,TRUE,,Beber,Curioso,Refrescante,Uva Vinhos,França,Borgonha,Curadoria,https://drive.google.com/file/d/1ekBTBS4kEOBdsoh4WXSFGv9r81YFc36m/view?usp=drivesdk
,Domaine Les Astrelles,Domaine Les Astrelles Coteaux Bourguignons Blanc En,https://uvavinhos.com.br/produto/domaine-les-astrelles-coteaux-bourguignons-blanc-en-riottes-2022/,Pinot Blanc e Pinot Gris,,Branco,346.0,TRUE,,Beber,Curioso,Batalha,Uva Vinhos,França,Borgonha,Curadoria,https://drive.google.com/file/d/1VWI3_DMvwNU2q8scGZfpySuj0vb45J9_/view?usp=drivesdk
,Domaine Mongeard-Mugneret,Domaine Mongeard-Mugneret Bourgogne Chardonnay,https://www.cellarvinhos.com/vinho-branco-bourgogne-chardonnay-2022/p,Chardonnay,,Branco,475.0,TRUE,,Beber,Clássico,Batalha,Cellar,França,Borgonha,Curadoria,https://drive.google.com/file/d/1rTKlz08SWyrVC1S6W123Uq0NXACzotu8/view?usp=drivesdk
,Domaine Mont Bessay,"Domaine Mont Bessay ""En Bessay"" 2022",https://elevagebrasil.com/julienas-en-bessay/,Gamay,2022,Tinto,1182.0,TRUE,,Guardar,Nerd,Contemplativo,Élevage,França,Beaujolais,Curadoria,https://drive.google.com/file/d/1MMcvjM31hM2glrTCCbjz6TvTbKtd25Jg/view?usp=drivesdk
,Domaine Remi Jobard,Domaine Remi Jobard Meursault 1er Cru Le Poruzot 2018,https://glouglou.com.br/products/domaine-remi-jobard-mersault-1-cru-le-poruzot-2018,Chardonnay,2018,Branco,2850.0,TRUE,,,Clássico,Pedigree,011import,França,Borgonha,Curadoria,https://drive.google.com/file/d/167ksK1fYbZyrZnHJwgZn6P22sjcqZf3U/view?usp=drivesdk
,Domaine Remi Jobard,Domaine Remi Jobard Meursault 1er Cru Les Genevriéres,https://glouglou.com.br/products/domaine-remi-jobard-mersault-1-cru-les-genevrieres-2018,Chardonnay,,Branco,2550.0,TRUE,,,Clássico,Pedigree,011import,França,Borgonha,Curadoria,https://drive.google.com/file/d/1g5aB6Fso_jSvNEEiA85uZFn1vXvZ7hMj/view?usp=drivesdk
,Domaine Roblet-Monnot,Domaine Roblet-Monnot Haute Côte de Beaune Nerthus,https://glouglou.com.br/products/domaine-roblet-monnot-haute-cote-de-beaune-nerthus-2018,Chardonnay,,Branco,680.0,TRUE,,,Clássico,Pedigree,011import,França,Borgonha,Curadoria,https://drive.google.com/file/d/14S7XitjC2cYSalSTRblkFYTMADEnXP97/view?usp=drivesdk
,Domaine Roblet-Monnot,Domaine Roblet-Monnot Nerthus Meursault 1er Cru,https://glouglou.com.br/products/domaine-roblet-monnot-nerthus-merseault-1er-cru-charmes-2022,Chardonnay,,Branco,2800.0,TRUE,,Guardar,Clássico,Pedigree,011import,França,Borgonha,Curadoria,https://drive.google.com/file/d/11IBhRwAm1FKwWpG4spMeywv15d2g2Sf_/view?usp=drivesdk
,Domaine Roblet-Monnot,Domaine Roblet-Monnot Volnay 1er Cru Taillepieds 2017,https://glouglou.com.br/products/domaine-roblet-monnot-volnay-1er-cru-taillepieds-2017,Pinot Noir,2017,Tinto,2650.0,TRUE,,,Clássico,Pedigree,011import,França,Borgonha,Curadoria,https://drive.google.com/file/d/1tvZSLo-VzVx3CHF_g4adlBgwXntCX8Oi/view?usp=drivesdk
,Domaine Roblet-Monnot,Domaine Roblet-Monnot Volnay Saint François 2021,https://glouglou.com.br/products/domaine-roblet-monnot-volnay-saint-francois-2021,Pinot Noir,2021,Tinto,1500.0,TRUE,,Guardar ou Beber,Nerd,Contemplativo,011import,França,Borgonha,Curadoria,https://drive.google.com/file/d/151Y6mW9hrwtNDqsUMrRCB2aZBAYvbTPl/view?usp=drivesdk
,Domaine Rougeot Père et Fils,Domaine Rougeot Père et Fils Bourgogne Aligoté Les,https://www.cellarvinhos.com/vinho-branco-bourgogne-aligote-les-plumes-sans-sulfite-2022/p,Aligoté,,Branco,475.0,TRUE,,Beber,Natureba,Refrescante,Cellar,França,Borgonha,Curadoria,https://drive.google.com/file/d/1tQ_nZTep6kZ1EvLtw1JbuYeNPcliU62N/view?usp=drivesdk
,Domaine Rougeot Père et Fils,Domaine Rougeot Père et Fils Saint-Romain La Combe,https://www.cellarvinhos.com/vinho-branco-saint-romain-la-combe-bazin-sans-sulfite-2022/p,Chardonnay,,Branco,845.0,TRUE,,Beber,Natureba,Refrescante,Cellar,França,Borgonha,Curadoria,https://drive.google.com/file/d/1P8r2bD8P4lDF0DbRK2POTq90MkgjI1bs/view?usp=drivesdk
,Domaine Saint-Jacques,Domaine Saint-Jacques Bourgogne Aligoté 2022,https://www.cellarvinhos.com/vinho-branco-bourgogne-aligote-2022/p,Aligoté,2022,Branco,395.0,TRUE,,Beber,Clássico,Refrescante,Cellar,França,Borgonha,Curadoria,https://drive.google.com/file/d/1LQ2X8E5sC6ZxEcO47tflIV1LW5ec-GYD/view?usp=drivesdk
,Domaine Sylvain Langoureau,Domaine Sylvain Langoureau Saint-Aubin Premier Cru En,https://www.cellarvinhos.com/vinho-branco-saint-aubin-premier-cru-en-remilly-2023/p,Chardonnay,,Branco,745.0,TRUE,,Guardar ou Beber,Nerd,Pedigree,Cellar,França,Borgonha,Curadoria,https://drive.google.com/file/d/1POe5XPiwSqq_1zFijwiRuHhbJKnlX9iy/view?usp=drivesdk
,Domaine Sylvain Langoureau,Domaine Sylvain Langoureau Saint-Aubin Premier Cru Le,https://www.cellarvinhos.com/vinho-branco-saint-aubin-premier-cru-le-champlot-2023/p,Chardonnay,,Branco,695.0,TRUE,,Guardar ou Beber,Nerd,Pedigree,Cellar,França,Borgonha,Curadoria,https://drive.google.com/file/d/144zypSqZ-BOw-u0BlEJFcB0YCnsuuaXD/view?usp=drivesdk
